post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
184167600.genesis-two-stories-of-creation-day-f0e,,false,,,newsletter,everyone,,,
184167598.genesis-two-stories-of-creation-day-a0f,,false,,,newsletter,everyone,,,
184167596.genesis-two-stories-of-creation-day-a70,,false,,,newsletter,everyone,,,
184167593.genesis-two-stories-of-creation-day-340,,false,,,newsletter,everyone,,,
184167577.genesis-two-stories-of-creation-day,,false,,,newsletter,everyone,,,
184167573.genesis-two-stories-of-creation-deep,,false,,,newsletter,everyone,,,
183406712.copy-witness-under-pressure-and-expansion,,false,,,newsletter,everyone,,,
183403829.the-word-before-words-day-55,2026-01-09T12:07:35.138Z,true,2026-01-09T12:07:35.303Z,2026-01-09T12:07:35.303Z,newsletter,everyone,The Word Before Words: Day 5/5,Day 5 of 5: A Study of Genesis & John. ,
183403826.the-word-before-words-day-45,2026-01-08T12:07:34.034Z,true,2026-01-08T12:07:34.196Z,2026-01-08T12:07:34.196Z,newsletter,everyone,The Word Before Words: Day 4/5,Day 4 of 5: A Study of Genesis & John. ,
183403820.the-word-before-words-day-35,2026-01-07T12:07:27.335Z,true,2026-01-07T12:07:27.466Z,2026-01-07T12:07:27.466Z,newsletter,everyone,The Word Before Words: Day 3/5,Day 3 of 5: A Study of Genesis & John. ,
183403818.the-word-before-words-day-25,2026-01-06T12:07:12.947Z,true,2026-01-06T12:07:13.106Z,2026-01-06T12:07:13.106Z,newsletter,everyone,The Word Before Words: Day 2/5,Day 2 of 5: A Study of Genesis & John. ,
183403811.the-word-before-words-day-15,2026-01-05T12:07:26.372Z,true,2026-01-05T12:07:26.578Z,2026-01-05T12:07:26.578Z,newsletter,everyone,The Word Before Words: Day 1/5,Day 1 of 5: A Study of Genesis & John. ,
183386431.the-word-before-words-week-1-deep,2026-01-04T12:07:19.940Z,true,2026-01-04T12:07:20.061Z,2026-01-04T12:07:20.061Z,newsletter,everyone,The Word Before Words: Deep Dive,The Genesis Code: A Deep Dive into Genesis & John. ,
181604879.witness-under-pressure-and-expansion-8cd,2025-12-19T12:03:28.698Z,true,2025-12-19T12:03:28.821Z,2025-12-19T12:03:28.821Z,newsletter,everyone,Witness Under Pressure & Expansion Through Disruption Day 5/5,Day 5 of 5: Acts 10-12,
181604878.witness-under-pressure-and-expansion-4cf,2025-12-18T12:03:05.249Z,true,2025-12-18T12:03:05.424Z,2025-12-18T12:03:05.424Z,newsletter,everyone,Witness Under Pressure & Expansion Through Disruption Day 4/5,Day 4 of 5: Acts 9,
181604870.witness-under-pressure-and-expansion-0d9,2025-12-17T12:02:12.026Z,true,2025-12-17T12:02:12.184Z,2025-12-17T12:02:12.184Z,newsletter,everyone,Witness Under Pressure & Expansion Through Disruption Day 3/5,Day 3 of 5: Acts 8,
181604865.witness-under-pressure-and-expansion-bea,2025-12-16T12:01:27.465Z,true,2025-12-16T12:01:27.641Z,2025-12-16T12:01:27.641Z,newsletter,everyone,Witness Under Pressure & Expansion Through Disruption Day 2/5,Day 2 of 5: Acts 7,
181604851.witness-under-pressure-and-expansion-e3d,2025-12-15T12:03:04.582Z,true,2025-12-15T12:03:04.769Z,2025-12-15T12:03:04.769Z,newsletter,everyone,Witness Under Pressure & Expansion Through Disruption Day 1/5,Day 1 of 5: Acts 6,
181604844.witness-under-pressure-and-expansion,2025-12-15T12:03:24.222Z,true,2025-12-15T12:03:24.368Z,2025-12-15T12:03:24.368Z,newsletter,everyone,Witness Under Pressure & Expansion Through Disruption DeepDive,Master Document for Reference Throughout Week 3. ,
181016268.from-jerusalem-to-the-nations-servants,,false,,,newsletter,everyone,,,
181016226.copy-the-blueprint-of-community-day,,false,,,newsletter,everyone,,,
181016224.copy-the-blueprint-of-community-day,,false,,,newsletter,everyone,,,
181016218.copy-the-blueprint-of-community-day,,false,,,newsletter,everyone,,,
181016213.copy-the-blueprint-of-community-day,,false,,,newsletter,everyone,,,
181016206.copy-the-blueprint-of-community-day,,false,,,newsletter,everyone,,,
181016175.copy-signs-boldness-opposition-and,,false,,,newsletter,everyone,,,
181014532.signs-boldness-opposition-and-integrity-0a1,2025-12-12T12:01:17.183Z,true,2025-12-12T12:01:17.322Z,2025-12-12T12:01:17.322Z,newsletter,everyone,"Signs, Boldness, Opposition, & Integrity Day 5/5",Day 5 of 5: Acts 2:43–47,
181014530.signs-boldness-opposition-and-integrity-dda,2025-12-11T12:02:18.454Z,true,2025-12-11T12:02:18.595Z,2025-12-11T12:02:18.595Z,newsletter,everyone,"Signs, Boldness, Opposition, & Integrity Day 4/5",Day 4 of 5: Acts 4,
181014528.signs-boldness-opposition-and-integrity-912,2025-12-10T12:01:29.265Z,true,2025-12-10T12:01:29.414Z,2025-12-10T12:01:29.414Z,newsletter,everyone,"Signs, Boldness, Opposition, & Integrity 3/5",Day 3 of 5: 4,
181014520.signs-boldness-opposition-and-integrity-16f,2025-12-09T12:01:19.597Z,true,2025-12-09T12:01:19.738Z,2025-12-09T12:01:19.738Z,newsletter,everyone,"Signs, Boldness, Opposition, & Integrity Day 2/5",Day 2 of 5: Acts 3,
181014513.signs-boldness-opposition-and-integrity-fe5,2025-12-08T12:07:41.110Z,true,2025-12-08T12:07:41.263Z,2025-12-08T12:07:41.263Z,newsletter,everyone,"Signs, Boldness, Opposition, & Integrity Day 1/5",Day 1 of 5: Acts 3,
180948921.signs-boldness-opposition-and-integrity,2025-12-08T12:03:00.553Z,true,2025-12-08T12:03:00.949Z,2025-12-08T12:03:00.949Z,newsletter,everyone,"Signs, Boldness, Opposition, and Integrity DeepDive",Master Document for Reference Throughout Week 2. ,
180296770.the-blueprint-of-community-day-55,2025-12-05T12:03:37.817Z,true,2025-12-05T12:03:37.977Z,2025-12-05T12:03:37.977Z,newsletter,everyone,The Blueprint of Community Day 5/5,Day 5 of 5: Acts 2:43–47,
180296767.the-blueprint-of-community-day-45,2025-12-04T12:02:28.767Z,true,2025-12-04T12:02:29.096Z,2025-12-04T12:02:29.096Z,newsletter,everyone,The Blueprint of Community Day 4/5,Day 4 of 5: Acts 2:42–47,
180296763.the-blueprint-of-community-day-35,2025-12-03T12:03:23.595Z,true,2025-12-03T12:03:23.744Z,2025-12-03T12:03:23.744Z,newsletter,everyone,The Blueprint of Community Day 3/5,Day 3 of 5: 2:14–41,
180296761.the-blueprint-of-community-day-25,2025-12-02T15:52:06.509Z,true,2025-12-02T15:52:06.621Z,2025-12-02T15:52:06.621Z,newsletter,everyone,The Blueprint of Community Day 2/5,Day 2 of 5: Acts 2:1-13,
180296760.the-blueprint-of-community-day-15,2025-12-01T12:03:37.935Z,true,2025-12-01T12:03:38.124Z,2025-12-01T12:03:38.124Z,newsletter,everyone,The Blueprint of Community Day 1/5,Day 1 of 5: Acts 1,
180296758.the-blueprint-of-community-deepdive,2025-11-30T12:02:58.436Z,true,2025-11-30T12:02:58.606Z,2025-11-30T12:02:58.606Z,newsletter,everyone,The Blueprint of Community DeepDive,Master Document for Reference Throughout the Week. ,
179179568.the-work-of-god-day-66-week-88,2025-11-28T12:01:58.301Z,true,2025-11-28T12:01:58.453Z,2025-11-28T12:01:58.453Z,newsletter,everyone,"The Work of God Day 6/6, Week 8/8",Day 6 of 6: Put It to Use (Practical Application),
179179562.the-work-of-god-day-56-week-88,2025-11-27T12:01:44.291Z,true,2025-11-27T12:01:44.415Z,2025-11-27T12:01:44.415Z,newsletter,everyone,"The Work of God Day 5/6, Week 8/8",Day 5 of 6: What Will I Do?,
179179552.the-work-of-god-day-46-week-88,2025-11-26T12:02:24.784Z,true,2025-11-26T12:02:24.938Z,2025-11-26T12:02:24.938Z,newsletter,everyone,"The Work of God Day 4/6, Week 8/8",Day 4 of 6: What's the Lesson for Me Today?,
179179542.the-work-of-god-day-36-week-88,2025-11-25T12:02:41.630Z,true,2025-11-25T12:02:41.846Z,2025-11-25T12:02:41.846Z,newsletter,everyone,"The Work of God Day 3/6, Week 8/8",Day 3 of 6: What's the Lesson for the Original Audience?,
179179533.the-work-of-god-day-26-week-88,2025-11-24T12:02:53.289Z,true,2025-11-24T12:02:53.641Z,2025-11-24T12:02:53.641Z,newsletter,everyone,"The Work of God Day 2/6, Week 8/8",Day 2 of 6: What's the Connection?,
179179521.the-work-of-god-day-16-week-88,2025-11-23T12:02:41.999Z,true,2025-11-23T12:02:42.154Z,2025-11-23T12:02:42.154Z,newsletter,everyone,"The Work of God Day 1/6, Week 8/8",Day 1 of 6: What's Happening (and Who's Involved)?,
178207719.the-nature-of-belief-day-66-week,2025-11-21T12:01:27.316Z,true,2025-11-21T12:01:27.468Z,2025-11-21T12:01:27.468Z,newsletter,everyone,"The Nature of Belief. Day 6/6, Week 7/8",Day 6 of 6: Put It to Use (Practical Application),
178207704.the-nature-of-belief-day-56-week,2025-11-20T12:02:10.201Z,true,2025-11-20T12:02:10.427Z,2025-11-20T12:02:10.427Z,newsletter,everyone,"The Nature of Belief. Day 5/6, Week 7/8",Day 5 of 6: What Will I Do?,
178207696.the-nature-of-belief-day-46-week,2025-11-19T12:02:37.067Z,true,2025-11-19T12:02:37.193Z,2025-11-19T12:02:37.193Z,newsletter,everyone,"The Nature of Belief. Day 4/6, Week 7/8",Day 4 of 6: What's the Lesson for Me Today?,
178207689.the-nature-of-belief-day-36-week,2025-11-18T12:01:38.746Z,true,2025-11-18T12:01:38.939Z,2025-11-18T12:01:38.939Z,newsletter,everyone,"The Nature of Belief. Day 3/6, Week 7/8",Day 3 of 6: What's the Lesson for the Original Audience?,
178207685.the-nature-of-belief-day-26-week,2025-11-17T12:02:23.453Z,true,2025-11-17T12:02:23.554Z,2025-11-17T12:02:23.554Z,newsletter,everyone,"The Nature of Belief. Day 2/6, Week 7/8",Day 2 of 6: What's the Connection?,
178207679.the-nature-of-belief-day-16-week,2025-11-16T12:02:38.915Z,true,2025-11-16T12:02:39.166Z,2025-11-16T12:02:39.166Z,newsletter,everyone,"The Nature of Belief. Day 1/6, Week 7/8",Day 1 of 6: What's Happening (and Who's Involved)?,
178122051.what-happens-when-you-repeatedly-a90,2025-11-14T12:00:50.546Z,true,2025-11-14T12:00:50.733Z,2025-11-14T12:00:50.733Z,newsletter,everyone,"What Happens When You Repeatedly Do the Same Sin? Day 6/6, Week 6/8",Day 6 of 6: Put It to Use (Practical Application),
178122049.what-happens-when-you-repeatedly-085,2025-11-13T12:02:33.580Z,true,2025-11-13T12:02:33.715Z,2025-11-13T12:02:33.715Z,newsletter,everyone,"What Happens When You Repeatedly Do the Same Sin? Day 5/6, Week 6/8",Day 5 of 6: What Will I Do?,
178122039.what-happens-when-you-repeatedly-02c,2025-11-12T12:01:12.561Z,true,2025-11-12T12:01:12.730Z,2025-11-12T12:01:12.730Z,newsletter,everyone,"What Happens When You Repeatedly Do the Same Sin? Day 4/6, Week 6/8",Day 4 of 6: What's the Lesson for Me Today?,
